,Name,Positive,Neutral,Negative
0,Lamar Alexander,45%,25%,30%
1,Tammy Baldwin,46%,17%,37%
2,John Barrasso,64%,16%,21%
3,Michael Bennet,39%,29%,32%
4,Marsha Blackburn,47%,22%,31%
5,Richard Blumenthal,46%,17%,38%
6,Roy Blunt,40%,24%,36%
7,Cory Booker,45%,19%,36%
8,John Boozman,48%,27%,25%
9,Mike Braun,44%,30%,26%
10,Sherrod Brown,46%,24%,30%
11,Richard Burr,38%,29%,34%
12,Maria Cantwell,48%,24%,29%
13,Shelley Moore Capito,47%,21%,33%
14,Ben Cardin,49%,28%,23%
15,Tom Carper,50%,23%,27%
16,Bob Casey,42%,26%,31%
17,Bill Cassidy,47%,27%,26%
18,Susan Collins,42%,7%,52%
19,Chris Coons,52%,20%,28%
20,John Cornyn,44%,31%,25%
21,Catherine Cortez Mas,40%,27%,32%
22,Tom Cotton,48%,21%,31%
23,Kevin Cramer,47%,18%,35%
24,Mike Crapo,49%,21%,30%
25,Ted Cruz,49%,17%,34%
26,Steve Daines,47%,21%,31%
27,Tammy Duckworth,42%,26%,32%
28,Dick Durbin,38%,25%,37%
29,Mike Enzi,62%,21%,17%
30,Joni Ernst,37%,21%,42%
31,Dianne Feinstein,42%,21%,37%
32,Deb Fischer,41%,19%,40%
33,Cory Gardner,37%,23%,40%
34,Kirsten Gillibrand,42%,26%,32%
35,Lindsey Graham,48%,15%,36%
36,Chuck Grassley,43%,19%,38%
37,Kamala Harris,41%,23%,36%
38,Maggie Hassan,51%,14%,35%
39,Josh Hawley,43%,27%,30%
40,Martin Heinrich,39%,27%,34%
41,Mazie Hirono,47%,17%,37%
42,John Hoeven,56%,20%,25%
43,Cindy Hyde-Smith,47%,22%,31%
44,James Inhofe,43%,26%,31%
45,Johnny Isakson,44%,31%,24%
46,Ron Johnson,41%,24%,35%
47,Doug Jones,41%,24%,35%
48,Tim Kaine,45%,22%,34%
49,John Kennedy,48%,27%,26%
50,Angus King,58%,11%,31%
51,Amy Klobuchar,56%,14%,31%
52,James Lankford,44%,29%,27%
53,Patrick Leahy,64%,12%,24%
54,Mike Lee,46%,22%,32%
55,Joe Manchin,51%,11%,38%
56,Ed Markey,50%,25%,25%
57,Mitch McConnell,37%,13%,50%
58,Martha McSally,37%,24%,40%
59,Bob Menendez,35%,25%,40%
60,Jeff Merkley,45%,27%,28%
61,Jerry Moran,40%,31%,29%
62,Lisa Murkowski,41%,18%,41%
63,Chris Murphy,47%,19%,35%
64,Patty Murray,46%,23%,31%
65,Rand Paul,41%,20%,39%
66,David Perdue,49%,25%,26%
67,Gary Peters,37%,34%,29%
68,Rob Portman,40%,29%,31%
69,Jack Reed,53%,23%,24%
70,Jim Risch,46%,26%,28%
71,Pat Roberts,37%,28%,35%
72,Mitt Romney,48%,14%,38%
73,Jacky Rosen,38%,29%,33%
74,Mike Rounds,50%,16%,34%
75,Marco Rubio,48%,19%,33%
76,Bernie Sanders,65%,6%,29%
77,Ben Sasse,45%,21%,35%
78,Brian Schatz,48%,23%,29%
79,Chuck Schumer,47%,18%,35%
80,Rick Scott,47%,18%,36%
81,Tim Scott,50%,26%,24%
82,Jeanne Shaheen,52%,11%,37%
83,Richard Shelby,46%,26%,29%
84,Kyrsten Sinema,44%,26%,30%
85,Tina Smith,42%,29%,29%
86,Debbie Stabenow,44%,21%,35%
87,Dan Sullivan,43%,24%,33%
88,Jon Tester,48%,13%,39%
89,John Thune,52%,13%,35%
90,Thom Tillis,34%,29%,37%
91,Pat Toomey,40%,26%,35%
92,Tom Udall,39%,27%,33%
93,Chris Van Hollen,46%,32%,22%
94,Mark Warner,49%,21%,30%
95,Elizabeth Warren,50%,10%,40%
96,Sheldon Whitehouse,51%,19%,31%
97,Roger Wicker,47%,25%,27%
98,Ron Wyden,48%,25%,27%
99,Todd Young,43%,34%,24%
